sentence	error label	split	label
Du kan göra något för att inte känna dig ensam .	L-W	train	0
Hon tänker mycket efter henne .	L-W	train	1
Vi handlar allt tillsammans , till exempel : mat , kläder , möbler och lite mer .	L-W	train	0
I D-land klär sig människor mycket lika och om man har någonting ovanligt på sig , då fästar det mycket uppmärksamhet i samhället ( och det är inte en bra sak ) .	L-W	train	1
En demokrati är ett system där medborgarna av ett land , direkt eller indirekt , kan påverka landets lagar och makthavare .	L-W	train	1
Vad angår mig själv då skulle jag säga att jag brinner för mode .	L-W	train	1
Naturligtvis kan man skilja mellan personer utifrån dyra och billiga kläder .	L-W	train	0
Det finns också något bra med havsvattnet .	L-W	train	0
Anna , som tyckte mycket om sin syster , längtade då efter henne och gick varje dag bakom hennes rum och sa att hon skulle komma ut och leka med henne utan att tänka på att det var hon som hade skadat henne .	L-W	train	1
Vi vet alla att sociala medier nuförtiden är demokratins själ .	L-W	train	0
Det andra verket , filmen " Frost " , handlar om en självisolerad prinsessa som råkat förtrolla sin syster med sina magiska krafter vilket riskerar systerns liv om förtrollningen inte bryts genom en äkta kärlek .	O-Comp	train	0
Jag vet att dina kollegor ofta är upptagna men kanske de kan träffas någon gång .	L-W	train	0
Hon resonerar innan allt och jag tycker att hon är en bra tjej , trots sin bakgrund , men hon kämpar .	L-W	train	1
När jag gifte mig fick jag hjälp av min mamma .	L-Der	train	0
Det snabbaste sättet som man kunde kommunicera på tidigare var att skicka en person till en annan person för att leverera något , säga något viktigt eller sända en hälsan .	L-Der	train	1
Ibland träffar jag en barndomsvän och det är jätt roligt .	O-Comp	train	1
På kvällen åker du på gym .	L-W	train	1
Det går bra att tänka på den psykologiska mognaden , intresset för ett lands politik och undervisningen bl.a. När det gäller åldersgränsen kan det vara något välgörande att sänka den och därmed ge möjlighet att rösta till dem som tänker sig vara färdiga för ett sådant ansvar .	L-W	train	0
Numera anses man vara klok nog att rösta vid vuxen ålder på grund av att alla , oavsett yrke eller kön , har fått någon form av grundläggande utbildning som gör att man förstår världen bättre  . Och det är precis här argumenten för att sänka rösträtt åldersgränsen för är som starkast .	L-W	train	1
Men vi kan köpa en mobil telefon till honom som present .	O-Comp	train	1
Vi kan köpa två biobiljetter till själva oss och gå med honom till bio om du vill .	L-W	train	1
Jag tänkte ta med mig mitt barn men det var förbjudet därför att han är yngre än 14 år .	L-W	train	0
Det finns olika klichéer som man växte upp med och de ger oss en struktur för samhället som man måste följa i sitt liv .	L-W	train	0
Till exempel , studier visar att om en man går cirka 45 minuter varje dag är det 60 % mindre risk att han får säsongsförkylning .	L-W	train	0
Hur åsikter förändras från ens ungdom tills man når en viss ålder känner alla till som har levande minst ett par eller fler decennier .	L-Der	train	1
Det blir inte mörkt på natten i sommaren och jag och min familj kunde inte sova på natten , men efter några veckor vande vi oss vid den ljusa natten och också den mörka dagen .	L-W	train	1
Det som är likt i alla texter när de pratar om minoritetsspråken inom Norge och Finland är att många i båda länderna tycker att minoritetsspråken borde förbjudas eller att minoritetsspråken har för mycket makt i landet .	L-W	train	1
För det andra tycker jag att studenterna blir hungriga efter lektionerna och de kanske vill köpa en smörgås .	L-W	train	1
Jag vill inte sticka ut för mycket , men å andra sidan tycker jag att min klädsstil är ett uttryck för min personlighet och mina ideal .	L-W	train	0
I allmänhet behöver människor kommunikation med varandra för många olika ändamål , bland annat för att få insikt om varandras situationer , utbyta information och kunskap mellan sig och dessutom utväxla viktiga nyheter om saker som äger rum i olika regioner i världen .	L-W	train	0
Det är jättestort samt det finns ett kafé där , där man kan fika och vila .	L-W	train	1
De båda är lyckliga , rika och välmående .	L-Der	train	0
När han ser salladskål kommer han att komma ihåg oss .	L-Der	train	1
Vi har fyra hus där och ett av dem är byggt på vattnet , och det har en underbar utsikt av sjön .	L-W	train	1
Det är svårt ibland men det kommer inte på engång .	O-Comp	train	1
Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .	L-W	train	0
En busshållplats , en pizzeria och en tobaksaffär tar 5 min hemifrån .	L-W	train	1
Du kan ringa och bjuda honom på en fin restaurang för ett kärleksmöte , och där kan ni prata med varandra mer och mer !	O-Comp	train	0
Främst visas temat genom den kärlek syskonen har för varandra och hur år utav att ha levt isolerade liv har påverkat deras relation till varandra .	L-W	train	0
I jag-kulturer baserar man sin lycka på de saker som man bygger ensam och i vi-kulturer blir personer inte bara lyckliga för de saker som en person som individ kan få .	L-W	train	1
År 1923 var den första automatiska växeln i Norra Vasa , Stockholm .	L-W	train	1
Kommunen har planerat det som en vanlig samlingspunkt .	L-Der	train	0
Under denna tid lär sig prinsessan att hantera konflikter , dessutom återupprättar hon den förlorade kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två löpande dygnen .	L-W	train	1
Jag anser att en resa till Grekland skulle vara en jättefin present till honom och hans fru eftersom han tycker mycket om Grekland och han och hans fru kan vila och ta det lugnt tillsammans där .	L-W	train	0
Där är det 20 + grader på vintern och jag hade på mig en normal jacka utan varma underkläder och långkalsonger .	O-Comp	train	1
Jag har några goda råd för dig och jag hoppas att du lyssnar på mig .	L-W	train	1
När jag promenerade iväg efter två minuter såg jag mamman komma med en stor bit mat i sin mun och jag blev förvånad och personen fick sin hund med hundvalparna .	L-W	train	1
Tack för ditt mejl och grattis till ditt nya liv och ditt nya jobba .	L-Der	train	1
Det är möjligt att människor kan ha olika klädstilar som representerar deras övertygelser och som kan leda till konflikter med normerna i det gällande landet .	L-W	train	1
Jag hoppas att ni ska förklara för mig vad som har hänt .	L-W	train	1
Dessutom anser många människor i dagens samhälle att den förändrade familjen spelar en stor roll för barns uppfostran och att det påverkar samhället på positiva och negativa sätt , alltså det beror på vilken familj och uppfostran man har .	L-Der	train	0
Det menar att det finns olika sorters mat där .	L-W	train	1
Jag behöver pengarna för den nya kursen .	L-W	train	0
En konsekvens är att det minskar utbildningsnivån i samhället , och en annan kan vara att samhället går mer och mer mot korruption och odemokratiska förhållanden , tillexempel vad gäller svart hyra och bostadsbolag .	O-Comp	train	1
Mannen gick fort fram och såg jättearg ut och klev ut ur bussen .	L-W	train	0
I jag-kulturer baserar man sin lycka på de saker som man bygger ensam och i vi kulturer blir människor inte bara lyckliga för de saker som en person som individ kan få .	O-Comp	train	1
Sist men inte minst tror jag att du måste motivera varför du passar för jobbet , till exempel : du har lång erfarenhet på området som du har sökt jobb inom , eller du har utbildning för jobbet .	L-W	train	0
Boken skriv två människor som samtalar .	L-Der	train	1
Inledning : Det finns mycket flerspråkiga som lever i Sverige i dag och det kan bero på att människor invandrar från andra länder eller det kan också vara svenskar som lär sig  internationella språk som engelska , spanska , franska eller tyska .	L-W	train	1
En del tycker att det kan vara snabbare att betala svart för en tjänst medan andra tycker att man inte bör betala svart för en tjänst , eftersom alla måste stå på sin tur .	L-W	train	1
Polisen har tagit Nadja eftersom hon blev misstänkt för en terror atack .	O-Comp	train	1
Pengar är inte ett bra förslag som present eftersom pengarna kommer att hjälpa dem en kort period och försvinna , men om vi köper en sak , t.ex. en möbel , en vas eller en kökssak , kommer den att finnas kvar hos dem länge och de kommer alltid att komma ihåg oss .	L-W	train	0
Det finns många nya lägenheter i dyrare delar i huvudstaden , men detta är lång distans från räker nummer .	L-W	train	1
Hon hade kanske olika tankar för att skriva den här boken , till exempel att förklara hur svårt livet är för fattiga människor , särskilt för barn .	L-W	train	1
Hon träffade sin mamma , sina vänner och barnhemmet varifrån hon blev adopterad .	L-W	train	0
Humor är ett smak att göra livet mer intressant .	L-W	train	1
Klädstil är utan tvekan en uttrycksform , och ett hållbart samhälle behöver främja frihet kring den uttrycksformen .	L-W	train	0
Det skulle vara mycket tråkigt att leva med folk som är humorlös .	L-W	train	1
När de åkt bort så började valparna bli oroliga och sprang åt olika håll och då en bil körde förbi vårt hus sprang alla tre till dörren och väntade att familjen skulle komma in , men de kom inte .	L-W	train	1
Senare och under 1800-talet togs sedan de första stora stegen som ändrade alla gamla perspektiv på kommunikation .	L-W	train	0
Mode och trender var viktiga för mig eftersom jag ville se bra ut mot mina vänner och på jobbet .	L-W	train	1
Han var tvärtom jättesocial och snäll .	O-Comp	train	0
Om vi tycker att vi är missnöjda på grund av vårt land ( yttre faktorer ) och inte gör någonting , då kommer vi att finns utan glädje .	L-W	train	1
Det märkte jag när mina syskon och jag pratade med vår spanska familj när vi hade flyttat till Sjövik .	L-W	train	0
Å andra sidan kan det påverka oss på ett negativt sätt .	L-W	train	0
Mobilen är en grund för varje dag i livet .	L-W	train	0
Temat är kärlek i denna film , för att i slutändan så är det deras kärlek för varandra , deras mor och dotter-relation , som gör att de förlåter varandra och börjar kommunicera bättre .	O-Comp	train	0
Det var börja på en stor kärlek , tror jag .	L-Der	train	1
Därför måste man bli försiktig och låna eller köpa på second hand de plagg som man behöver bara en gång i livet .	L-W	train	1
Demokratins syfte innebär att folk som är medborgare i sitt hemland kan styra landet jämlikt med regeringen genom att rösta , men det finns självklart vissa begränsningar , bland annat åldersbegränsning .	L-W	train	1
